sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,crosssell_skus,upsell_skus,additional_images,additional_image_labels,hide_from_product_page,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,configurable_variations,configurable_variation_labels,associated_skus
I0000001,,Default,simple,Default Category/ACCESSORY,base,Crayon,Crayon by Crayola for Kids - 64 Count Colors,Crayon by Crayola for Kids - 64 Count Colors,1,1,Taxable Goods,"Catalog, Search",2.83,,,,I0000001,,,,images/I0000001.png,,images/I0000001.png,,images/I0000001.png,,,,,,,,Block after Info Column,,,,,,,,,,,,,"designer=Crayola,size=64 Count,type=Colors,gender=Kids,upc=71662000646,pwwsku=ACC-1182",-34,1,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
I0000002,,Default,simple,Default Category/ACCESSORY,base,"Huggies Supreme Little Movers Diapers, Jumbo Size 3, 16-28 lb","Huggies Supreme Little Movers Diapers, Jumbo Size 3, 16-28 lb by Huggies for Kids - 31 Count Diapers","Huggies Supreme Little Movers Diapers, Jumbo Size 3, 16-28 lb by Huggies for Kids - 31 Count Diapers",1,1,Taxable Goods,"Catalog, Search",11.23,,,,I0000002,,,,images/I0000002.png,,images/I0000002.png,,images/I0000002.png,,,,,,,,Block after Info Column,,,,,,,,,,,,,"designer=Huggies,size=31 Count,type=Diapers,gender=Kids,upc=36000119589,pwwsku=ACC-1187",-6,1,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
I0000003,,Default,simple,Default Category/ACCESSORY,base,"Huggies Supreme Little Movers Diapers, Jumbo Size 4, 22-37 lb","Huggies Supreme Little Movers Diapers, Jumbo Size 4, 22-37 lb by Huggies for Kids - 27 Count Diapers","Huggies Supreme Little Movers Diapers, Jumbo Size 4, 22-37 lb by Huggies for Kids - 27 Count Diapers",1,1,Taxable Goods,"Catalog, Search",11.94,,,,I0000003,,,,images/I0000003.png,,images/I0000003.png,,images/I0000003.png,,,,,,,,Block after Info Column,,,,,,,,,,,,,"designer=Huggies,size=27 Count,type=Diapers,gender=Kids,upc=36000119596,pwwsku=ACC-1188",-8,1,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
I0000004,,Default,simple,Default Category/ACCESSORY,base,Rockee Replacement Brush Heads # - VRT200-2TB,Rockee Replacement Brush Heads # - VRT200-2TB by Violife for Kids - 2 Pc Set Brush Head,Rockee Replacement Brush Heads # - VRT200-2TB by Violife for Kids - 2 Pc Set Brush Head,1,1,Taxable Goods,"Catalog, Search",5.52,,,,I0000004,,,,images/I0000004.png,,images/I0000004.png,,images/I0000004.png,,,,,,,,Block after Info Column,,,,,,,,,,,,,"designer=Violife,size=2 Pc Set,type=Brush Head,gender=Kids,upc=819243010642,pwwsku=ACC-1436",-8,1,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
I0000005,,Default,simple,Default Category/ACCESSORY,base,Rockee The Toothbrush That Rocks # - VRT156B Ellie,"Rockee The Toothbrush That Rocks # - VRT156B Ellie by Violife for Kids - 3 Pc Kit Rockee Toothbrush,","Rockee The Toothbrush That Rocks # - VRT156B Ellie by Violife for Kids - 3 Pc Kit Rockee Toothbrush,",1,1,Taxable Goods,"Catalog, Search",8.63,,,,I0000005,,,,images/I0000005.png,,images/I0000005.png,,images/I0000005.png,,,,,,,,Block after Info Column,,,,,,,,,,,,,"designer=Violife,size=3 Pc Kit,type=Rockee Toothbrush, 2 Additional Brush Heads,gender=Kids,upc=819243017153,pwwsku=ACC-1499",-5,1,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
I0000006,,Default,simple,Default Category/ACCESSORY,base,Rockee The Toothbrush That Rocks # - VRT157B Bessie,Rockee The Toothbrush That Rocks # - VRT157B Bessie by Violife for Kids - 3 Pc Set Rockee Toothbrush,Rockee The Toothbrush That Rocks # - VRT157B Bessie by Violife for Kids - 3 Pc Set Rockee Toothbrush,1,1,Taxable Goods,"Catalog, Search",8.28,,,,I0000006,,,,images/I0000006.png,,images/I0000006.png,,images/I0000006.png,,,,,,,,Block after Info Column,,,,,,,,,,,,,"designer=Violife,size=3 Pc Set,type=Rockee Toothbrush, 2 Additional Brush Heads,gender=Kids,upc=819243017160,pwwsku=ACC-1437",12,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
I0000007,,Default,simple,Default Category/ACCESSORY,base,Rockee The Toothbrush That Rocks # - VRT159 Randy,"Rockee The Toothbrush That Rocks # - VRT159 Randy by Violife for Kids - 3 Pc Kit Rockee Toothbrush,","Rockee The Toothbrush That Rocks # - VRT159 Randy by Violife for Kids - 3 Pc Kit Rockee Toothbrush,",1,1,Taxable Goods,"Catalog, Search",8.63,,,,I0000007,,,,images/I0000007.png,,images/I0000007.png,,images/I0000007.png,,,,,,,,Block after Info Column,,,,,,,,,,,,,"designer=Violife,size=3 Pc Kit,type=Rockee Toothbrush, 2 Additional Brush Heads,gender=Kids,upc=819243014961,pwwsku=ACC-1496",-1,1,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
I0000008,,Default,simple,Default Category/ACCESSORY,base,"Snug And Dry, Step 4 Jumbo 22-37 lb","Snug And Dry, Step 4 Jumbo 22-37 lb by Huggies for Kids - 31 Count Diapers","Snug And Dry, Step 4 Jumbo 22-37 lb by Huggies for Kids - 31 Count Diapers",1,1,Taxable Goods,"Catalog, Search",11.73,,,,I0000008,,,,images/I0000008.png,,images/I0000008.png,,images/I0000008.png,,,,,,,,Block after Info Column,,,,,,,,,,,,,"designer=Huggies,size=31 Count,type=Diapers,gender=Kids,upc=36000555042,pwwsku=ACC-1186",-3,1,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
I0000009,,Default,simple,Default Category/ACCESSORY,base,Twistables Crayons,Twistables Crayons by Crayola for Kids - 24 Count Colors,Twistables Crayons by Crayola for Kids - 24 Count Colors,1,1,Taxable Goods,"Catalog, Search",1.61,,,,I0000009,,,,images/I0000009.png,,images/I0000009.png,,images/I0000009.png,,,,,,,,Block after Info Column,,,,,,,,,,,,,"designer=Crayola,size=24 Count,type=Colors,gender=Kids,upc=71662174088,pwwsku=ACC-1183",-2,1,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
I0000010,,Default,simple,Default Category/ACCESSORY,base,Washable Kids Paint,Washable Kids Paint by Crayola for Kids - 6 Count Colors,Washable Kids Paint by Crayola for Kids - 6 Count Colors,1,1,Taxable Goods,"Catalog, Search",2.77,,,,I0000010,,,,images/I0000010.png,,images/I0000010.png,,images/I0000010.png,,,,,,,,Block after Info Column,,,,,,,,,,,,,"designer=Crayola,size=6 Count,type=Colors,gender=Kids,upc=71662112042,pwwsku=Colors",-1,1,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
