sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,crosssell_skus,upsell_skus,additional_images,additional_image_labels,hide_from_product_page,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,configurable_variations,configurable_variation_labels,associated_skus
I0014346,,Default,simple,Default Category/COSMETIC,base,Phyto-Levres Perfect With Lip Brush and Sharpener - Nude,Phyto-Levres Perfect With Lip Brush and Sharpener - Nude by Sisley for Women - 0.04 oz Lipliner,Phyto-Levres Perfect With Lip Brush and Sharpener - Nude by Sisley for Women - 0.04 oz Lipliner,1,1,Taxable Goods,"Catalog, Search",35.88,,,,I0014346,,,,images/I0014346.png,,images/I0014346.png,,images/I0014346.png,,,,,,,,Block after Info Column,,,,,,,,,,,,,"designer=Sisley,size=0.04 oz,type=Lipliner,gender=Women,upc=3473311876119,pwwsku=W-C-6174",0,1,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
I0014347,,Default,simple,Default Category/COSMETIC,base,Phyto-Mascara Ultra-Stretch - # 2 Deep Brown,Phyto-Mascara Ultra-Stretch - # 2 Deep Brown by Sisley for Women - 0.27 oz Mascara,Phyto-Mascara Ultra-Stretch - # 2 Deep Brown by Sisley for Women - 0.27 oz Mascara,1,1,Taxable Goods,"Catalog, Search",38.64,,,,I0014347,,,,images/I0014347.png,,images/I0014347.png,,images/I0014347.png,,,,,,,,Block after Info Column,,,,,,,,,,,,,"designer=Sisley,size=0.24 oz,type=Mascara,gender=Women,upc=3473311850126,pwwsku=W-C-6163",6,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
I0014348,,Default,simple,Default Category/COSMETIC,base,Phyto-Medic Eyelash Enhancer,Phyto-Medic Eyelash Enhancer by LashFood for Women - 0.10 oz Eyelash,Phyto-Medic Eyelash Enhancer by LashFood for Women - 0.10 oz Eyelash,1,1,Taxable Goods,"Catalog, Search",52.44,,,,I0014348,,,,images/I0014348.png,,images/I0014348.png,,images/I0014348.png,,,,,,,,Block after Info Column,,,,,,,,,,,,,"designer=LashFood,size=0.1 oz,type=Eyelash,gender=Women,upc=811992017897,pwwsku=W-C-6205",-1,1,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
I0014349,,Default,simple,Default Category/COSMETIC,base,Phyto-Ombre Glow - # 1 Silver,Phyto-Ombre Glow - # 1 Silver by Sisley for Women - 0.05 oz Eyeshadow,Phyto-Ombre Glow - # 1 Silver by Sisley for Women - 0.05 oz Eyeshadow,1,1,Taxable Goods,"Catalog, Search",33.12,,,,I0014349,,,,images/I0014349.png,,images/I0014349.png,,images/I0014349.png,,,,,,,,Block after Info Column,,,,,,,,,,,,,"designer=Sisley,size=0.05 oz,type=Eyeshadow,gender=Women,upc=3473311865113,pwwsku=W-C-6169",45,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
I0014350,,Default,simple,Default Category/COSMETIC,base,Phyto-Ombre Glow - # 2 Pearl,Phyto-Ombre Glow - # 2 Pearl by Sisley for Women - 0.05 oz Eyeshadow,Phyto-Ombre Glow - # 2 Pearl by Sisley for Women - 0.05 oz Eyeshadow,1,1,Taxable Goods,"Catalog, Search",33.12,,,,I0014350,,,,images/I0014350.png,,images/I0014350.png,,images/I0014350.png,,,,,,,,Block after Info Column,,,,,,,,,,,,,"designer=Sisley,size=0.04 oz,type=Eyeshadow,gender=Women,upc=3473311865120,pwwsku=W-C-6172",11,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
I0014351,,Default,simple,Default Category/COSMETIC,base,Phyto-Ombre Glow - # 3 Gold,Phyto-Ombre Glow - # 3 Gold by Sisley for Women - 0.05 oz Eyeshadow,Phyto-Ombre Glow - # 3 Gold by Sisley for Women - 0.05 oz Eyeshadow,1,1,Taxable Goods,"Catalog, Search",33.12,,,,I0014351,,,,images/I0014351.png,,images/I0014351.png,,images/I0014351.png,,,,,,,,Block after Info Column,,,,,,,,,,,,,"designer=Sisley,size=0.05 oz,type=Eyeshadow,gender=Women,upc=3473311865137,pwwsku=W-C-6173",17,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
I0014352,,Default,simple,Default Category/COSMETIC,base,Phyto-Ombre Glow Mettalic Eye Shadow - Amber,Phyto-Ombre Glow Mettalic Eye Shadow - Amber by Sisley for Women - 0.05 oz Eyeshadow,Phyto-Ombre Glow Mettalic Eye Shadow - Amber by Sisley for Women - 0.05 oz Eyeshadow,1,1,Taxable Goods,"Catalog, Search",33.12,,,,I0014352,,,,images/I0014352.png,,images/I0014352.png,,images/I0014352.png,,,,,,,,Block after Info Column,,,,,,,,,,,,,"designer=Sisley,size=0.08 oz,type=Eyeshadow,gender=Women,upc=3473311865144,pwwsku=W-C-6176",16,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
I0014353,,Default,simple,Default Category/COSMETIC,base,Phyto-Poudre Compacte Pressed Powder - # 2 Transparente Irisee,Phyto-Poudre Compacte Pressed Powder - # 2 Transparente Irisee by Sisley for Women - 0.31 oz Powder,Phyto-Poudre Compacte Pressed Powder - # 2 Transparente Irisee by Sisley for Women - 0.31 oz Powder,1,1,Taxable Goods,"Catalog, Search",62.1,,,,I0014353,,,,images/I0014353.png,,images/I0014353.png,,images/I0014353.png,,,,,,,,Block after Info Column,,,,,,,,,,,,,"designer=Sisley,size=0.31 oz,type=Powder,gender=Women,upc=3473311830227,pwwsku=W-C-6161",23,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
I0014354,,Default,simple,Default Category/COSMETIC,base,Phyto-Poudre Compacte Pressed Powder - # 3 Sable / Sand,Phyto-Poudre Compacte Pressed Powder - # 3 Sable / Sand by Sisley for Women - 0.31 oz Powder,Phyto-Poudre Compacte Pressed Powder - # 3 Sable / Sand by Sisley for Women - 0.31 oz Powder,1,1,Taxable Goods,"Catalog, Search",62.1,,,,I0014354,,,,images/I0014354.png,,images/I0014354.png,,images/I0014354.png,,,,,,,,Block after Info Column,,,,,,,,,,,,,"designer=Sisley,size=0.27 oz,type=Powder,gender=Women,upc=3473311830234,pwwsku=W-C-6162",66,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
I0014355,,Default,simple,Default Category/COSMETIC,base,Phyto-Sourcils Perfect Eyebrow Pencil With Brush & Sharpener - Cappuccino,Phyto-Sourcils Perfect Eyebrow Pencil With Brush and Sharpener - Cappuccino by Sisley for Women - 0.0,Phyto-Sourcils Perfect Eyebrow Pencil With Brush and Sharpener - Cappuccino by Sisley for Women - 0.0,1,1,Taxable Goods,"Catalog, Search",34.5,,,,I0014355,,,,images/I0014355.png,,images/I0014355.png,,images/I0014355.png,,,,,,,,Block after Info Column,,,,,,,,,,,,,"designer=Sisley,size=0.019 oz,type=Eyebrow Pencil,gender=Women,upc=3473311875044,pwwsku=W-C-8501",40,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
I0014356,,Default,simple,Default Category/COSMETIC,base,Phyto-Teint Eclat Compact - # 3 Natural,Phyto-Teint Eclat Compact - # 3 Natural by Sisley for Women - 0.1 oz Foundation,Phyto-Teint Eclat Compact - # 3 Natural by Sisley for Women - 0.1 oz Foundation,1,1,Taxable Goods,"Catalog, Search",71.76,,,,I0014356,,,,images/I0014356.png,,images/I0014356.png,,images/I0014356.png,,,,,,,,Block after Info Column,,,,,,,,,,,,,"designer=Sisley,size=0.1 oz,type=Foundation,gender=Women,upc=3473311806031,pwwsku=W-C-6014",113,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
I0014357,,Default,simple,Default Category/COSMETIC,base,Phyto-Teint Eclat Compact Foundation - # 0 Porcelaine,Phyto-Teint Eclat Compact Foundation - # 0 Porcelaine by Sisley for Women - 0.35 oz Foundation,Phyto-Teint Eclat Compact Foundation - # 0 Porcelaine by Sisley for Women - 0.35 oz Foundation,1,1,Taxable Goods,"Catalog, Search",71.76,,,,I0014357,,,,images/I0014357.png,,images/I0014357.png,,images/I0014357.png,,,,,,,,Block after Info Column,,,,,,,,,,,,,"designer=Sisley,size=0.35 oz,type=Foundation,gender=Women,upc=3473311806000,pwwsku=W-C-7102",9,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
