sku,qty,is_in_stock,price
I0044126,0,0,189.6
I0044127,0,0,189.6
I0044128,0,0,189.6
I0044129,0,0,138
I0044130,0,0,173.84
I0044131,0,0,173.84
I0044132,0,0,144.14
I0044133,0,0,180.82
I0044134,0,0,144.14
I0044135,0,0,180.82
I0044136,0,0,144.14
I0044137,0,0,173.84
I0044138,0,0,173.84
I0044139,0,0,137.14
I0044140,0,0,137.14
I0044141,0,0,173.84
I0044142,0,0,137.14
I0044143,0,0,173.84
I0044144,0,0,157.94
I0044145,0,0,180.82
I0044146,0,0,180.21
I0044147,0,0,144.14
I0044148,0,0,144.14
I0044149,0,0,210.57
I0044150,0,0,180.82
I0044151,0,0,172.09
I0044152,0,0,113.7
I0044153,1,1,193.2
I0044154,0,0,177.96
I0044155,0,0,171.88
I0044156,0,0,177.96
I0044157,0,0,188.73
I0044158,0,0,514.99
I0044159,0,0,179.88
I0044160,0,0,157.87
I0044161,0,0,153.79
I0044162,0,0,129.98
I0044163,0,0,157.87
I0044164,-2,0,164.63
I0044165,0,0,164.63
I0044166,0,0,164.63
I0044167,0,0,159.1
I0044168,0,0,211.6
I0044169,0,0,189.78
I0044170,0,0,211.6
I0044171,0,0,164.63
I0044172,0,0,164.63
I0044173,0,0,159.1
I0044174,0,0,164.63
I0044175,0,0,136.77
I0044176,0,0,164.63
I0044177,0,0,164.63
I0044178,0,0,164.63
I0044179,0,0,154.24
I0044180,0,0,76.66
I0044181,0,0,114.8
I0044182,0,0,119.29
I0044183,0,0,98.23
I0044184,0,0,101.64
I0044185,0,0,119.29
I0044186,0,0,114.8
I0044187,0,0,92.49
I0044188,0,0,129.78
I0044189,0,0,129.78
I0044190,0,0,110.84
I0044191,0,0,138
I0044192,0,0,98.23
I0044193,0,0,107.47
I0044194,0,0,104.55
I0044195,0,0,98.23
I0044196,0,0,98.23
I0044197,0,0,104.55
I0044198,0,0,96.86
I0044199,0,0,92.49
I0044200,0,0,96.86
I0044201,0,0,96.86
I0044202,0,0,92.49
I0044203,0,0,107.47
I0044204,0,0,86.9
I0044205,0,0,110.84
I0044206,0,0,103.14
I0044207,0,0,103.14
I0044208,0,0,119.29
I0044209,0,0,129.78
I0044210,0,0,110.84
I0044211,0,0,108.25
I0044212,0,0,108.25
I0044213,0,0,108.25
I0044214,0,0,98.23
I0044215,0,0,87.89
I0044216,0,0,95.76
I0044217,0,0,108.25
I0044218,0,0,96.86
I0044219,0,0,138
I0044220,0,0,86.9
I0044221,0,0,129.78
I0044222,0,0,114.8
I0044223,0,0,97.41
I0044224,0,0,156.62
I0044225,0,0,119.19
I0044226,0,0,114.8
I0044227,0,0,138
I0044228,0,0,103.14
I0044229,0,0,119.29
I0044230,0,0,119.29
I0044231,0,0,98.23
I0044232,0,0,106.43
I0044233,0,0,120.29
I0044234,0,0,106.43
I0044235,0,0,136.07
I0044236,0,0,142.39
I0044237,0,0,142.39
I0044238,0,0,109.42
I0044239,0,0,126.62
I0044240,0,0,138
I0044241,0,0,109.42
I0044242,0,0,120.29
I0044243,0,0,148.68
I0044244,0,0,148.68
I0044245,0,0,148.68
I0044246,0,0,148.68
I0044247,0,0,126.6
I0044248,0,0,126.6
I0044249,0,0,109.42
I0044250,0,0,138
I0044251,0,0,126.6
I0044252,0,0,126.6
I0044253,0,0,99.02
I0044254,0,0,142.39
I0044255,0,0,111.92
I0044256,0,0,111.92
I0044257,0,0,118.64
I0044258,0,0,142.39
I0044259,0,0,144.33
I0044260,0,0,111.92
I0044261,0,0,207.23
I0044262,0,0,174.42
I0044263,0,0,174.42
I0044264,0,0,174.42
I0044265,0,0,108.99
I0044266,0,0,115.86
I0044267,0,0,108.99
I0044268,0,0,114.86
I0044269,0,0,102.91
I0044270,0,0,128.11
I0044271,0,0,128.11
I0044272,0,0,114.86
