sku,manage_stock,is_in_stock
I0045150,1,0
I0045151,1,0
I0045152,1,0
I0045153,1,0
I0045154,1,0
I0045155,1,0
I0045156,1,0
I0045157,1,0
I0045158,1,0
I0045159,1,0
I0045160,1,0
I0045161,1,0
I0045162,1,0
I0045163,1,0
I0045164,1,0
I0045165,1,0
I0045166,1,0
I0045167,1,0
I0045168,1,0
I0045169,1,0
I0045170,1,0
I0045171,1,0
I0045172,1,0
I0045173,1,0
I0045174,1,0
I0045175,1,0
I0045176,1,0
I0045177,1,0
I0045178,1,1
I0045179,1,0
I0045180,1,1
I0045181,1,0
I0045182,1,1
I0045183,1,0
I0045184,1,0
I0045185,1,0
I0045186,1,0
I0045187,1,0
I0045188,1,0
I0045189,1,0
I0045190,1,0
I0045191,1,0
I0045192,1,0
I0045193,1,0
I0045194,1,0
I0045195,1,0
I0045196,1,0
I0045197,1,0
I0045198,1,0
I0045199,1,0
I0045200,1,0
I0045201,1,0
I0045202,1,0
I0045203,1,0
I0045204,1,0
I0045205,1,0
I0045206,1,0
I0045207,1,0
I0045208,1,0
I0045209,1,0
I0045210,1,0
I0045211,1,0
I0045212,1,0
I0045213,1,0
I0045214,1,0
I0045215,1,0
I0045216,1,0
I0045217,1,0
I0045218,1,0
I0045219,1,0
I0045220,1,0
I0045221,1,0
I0045222,1,0
I0045223,1,0
I0045224,1,0
I0045225,1,0
I0045226,1,0
I0045227,1,0
I0045228,1,0
I0045229,1,0
I0045230,1,0
I0045231,1,0
I0045232,1,0
I0045233,1,0
I0045234,1,0
I0045235,1,0
I0045236,1,0
I0045237,1,0
I0045238,1,0
I0045239,1,0
I0045240,1,0
I0045241,1,0
I0045242,1,0
I0045243,1,0
I0045244,1,0
I0045245,1,1
I0045246,1,1
I0045247,1,1
I0045248,1,1
I0045249,1,1
I0045250,1,0
I0045251,1,1
I0045252,1,1
I0045253,1,1
I0045254,1,0
I0045255,1,0
I0045256,1,1
I0045257,1,1
I0045258,1,1
I0045259,1,1
I0045260,1,0
I0045261,1,1
I0045262,1,0
I0045263,1,1
I0045264,1,0
I0045265,1,1
I0045266,1,0
I0045267,1,1
I0045268,1,1
I0045269,1,1
I0045270,1,0
I0045271,1,1
