"Code","Country","State","Zip/Post Code","Rate","Zip/Post is Range","Range From","Range To","default","swishpop","stylerule"
"US-CA-*-Rate 1","US","CA","*","8.2500","","","","","",""
"State Tax","US","NY","*","8.6250","","","","","",""
"Maryland-Tax","US","MD","*","6.0000","","","","","",""
"Newyork-tax-1","US","NY","10001-10499","8.8750","1","10001","10499","","",""
"Newyork-Tax-2","US","NY","10501-10511","4.3750","1","10501","10511","","",""
"Newyork-Tax-3","US","NY","10512","8.3750","","","","","",""
"Newyork-Tax-4","US","NY","10514","4.3750","","","","","",""
"Newyork-Tax-5","US","NY","10516","8.3750","","","","","",""
"Newyork-Tax-6","US","NY","10517","4.3750","","","","","",""
"Newyork-Tax-7","US","NY","10518","4.0000","","","","","",""
"Newyork-Tax-8","US","NY","10519-10523","4.3750","1","10519","10523","","",""
"Newyork-Tax-9","US","NY","10524","8.3750","","","","","",""
"Newyork-Tax-10","US","NY","10526","4.0000","","","","","",""
"Newyork-Tax-11","US","NY","10527-10549","4.3750","1","10527","10549","","",""
"Newyork-Tax-12","US","NY","10550-10553","8.3750","1","10550","10553","","",""
"Newyork-Tax-13","US","NY","10560-10578","4.3750","1","10560","10578","","",""
"Newyork-Tax-14","US","NY","10579","8.3750","","","","","",""
"Newyork-Tax-15","US","NY","10580-10589","4.3750","1","10580","10589","","",""
"Newyork-Tax-16","US","NY","10590","4.0000","","","","","",""
"Newyork-Tax-17","US","NY","10591-10596","4.3750","1","10591","10596","","",""
"Newyork-Tax-18","US","NY","10597","4.0000","","","","","",""
"Newyork-Tax-19","US","NY","10598","4.3750","","","","","",""
"Newyork-Tax-20","US","NY","10601-10603","8.3750","1","10601","10603","","",""
"Newyork-Tax-21","US","NY","10604","4.3750","","","","","",""
"Newyork-Tax-22","US","NY","10605-10606","8.3750","1","10605","10606","","",""
"Newyork-Tax-23","US","NY","10607-10610","4.3750","1","10607","10610","","",""
"Newyork-Tax-24","US","NY","10701-10705","8.8750","1","10701","10705","","",""
"Newyork-Tax-25","US","NY","10706-10707","4.3750","1","10706","10707","","",""
"Newyork-Tax-26","US","NY","10708","8.8750","","","","","",""
"Newyork-Tax-27","US","NY","10709","4.3750","","","","","",""
"Newyork-Tax-28","US","NY","10710","8.8750","","","","","",""
"Newyork-Tax-29","US","NY","10801-10802","8.3750","1","10801","10802","","",""
"Newyork-Tax-30","US","NY","10803","4.3750","","","","","",""
"Newyork-Tax-31","US","*","10804-10901","8.3750","1","10804","10901","","",""
"Newyork-Tax-33","US","NY","10910-10912","8.1250","1","10910","10912","","",""
